,State,Response,Group_Count,Name,Year
147,37,10,80,North_Carolina,2002
148,37,1,2563,North_Carolina,2002
149,37,2,3906,North_Carolina,2002
150,37,7,39,North_Carolina,2002
151,37,9,160,North_Carolina,2002
152,38,10,60,North_Dakota,2002
153,38,1,1479,North_Dakota,2002
154,38,2,1385,North_Dakota,2002
155,38,7,10,North_Dakota,2002
156,38,9,62,North_Dakota,2002
157,39,1,1100,Ohio,2002
158,39,2,2770,Ohio,2002
159,39,7,17,Ohio,2002
160,39,9,205,Ohio,2002
161,40,10,11,Oklahoma,2002
162,40,1,2922,Oklahoma,2002
163,40,2,3531,Oklahoma,2002
164,40,7,51,Oklahoma,2002
165,40,9,258,Oklahoma,2002
166,41,10,59,Oregon,2002
167,41,1,1144,Oregon,2002
168,41,2,1753,Oregon,2002
169,41,7,10,Oregon,2002
170,41,9,109,Oregon,2002
171,42,10,419,Pennsylvania,2002
172,42,1,4732,Pennsylvania,2002
173,42,2,7942,Pennsylvania,2002
174,42,7,34,Pennsylvania,2002
175,42,9,364,Pennsylvania,2002
176,44,1,431,Rhode_Island,2002
177,44,2,3226,Rhode_Island,2002
178,44,7,10,Rhode_Island,2002
179,44,9,176,Rhode_Island,2002
180,45,10,177,South_Carolina,2002
181,45,1,1974,South_Carolina,2002
182,45,2,2204,South_Carolina,2002
183,45,7,23,South_Carolina,2002
184,45,9,125,South_Carolina,2002
185,46,10,19,South_Dakota,2002
186,46,1,2690,South_Dakota,2002
187,46,2,1958,South_Dakota,2002
188,46,7,18,South_Dakota,2002
189,46,9,103,South_Dakota,2002
190,47,1,1392,Tennessee,2002
191,47,2,1661,Tennessee,2002
192,47,7,23,Tennessee,2002
193,47,9,131,Tennessee,2002
194,48,10,236,Texas,2002
195,48,1,2089,Texas,2002
196,48,2,3606,Texas,2002
197,48,7,15,Texas,2002
198,48,9,161,Texas,2002
199,49,10,34,Utah,2002
200,49,1,2007,Utah,2002
201,49,2,1882,Utah,2002
202,49,7,20,Utah,2002
203,49,9,137,Utah,2002
204,50,1,1737,Vermont,2002
205,50,2,2335,Vermont,2002
206,50,7,6,Vermont,2002
207,50,9,161,Vermont,2002
208,51,10,160,Virginia,2002
209,51,1,1568,Virginia,2002
210,51,2,2523,Virginia,2002
211,51,7,28,Virginia,2002
212,51,9,113,Virginia,2002
213,53,10,49,Washington,2002
214,53,1,1621,Washington,2002
215,53,2,3029,Washington,2002
216,53,7,26,Washington,2002
217,53,9,162,Washington,2002
218,54,10,13,West_Virginia,2002
219,54,1,1744,West_Virginia,2002
220,54,2,1459,West_Virginia,2002
221,54,7,12,West_Virginia,2002
222,54,9,122,West_Virginia,2002
223,55,10,153,Wisconsin,2002
224,55,1,1606,Wisconsin,2002
225,55,2,2497,Wisconsin,2002
226,55,7,16,Wisconsin,2002
227,55,9,84,Wisconsin,2002
228,56,10,53,Wyoming,2002
229,56,1,2010,Wyoming,2002
230,56,2,1310,Wyoming,2002
231,56,7,13,Wyoming,2002
232,56,9,160,Wyoming,2002
233,66,1,130,Guam,2002
234,66,2,666,Guam,2002
235,66,7,6,Guam,2002
236,66,9,29,Guam,2002
237,72,10,2,Puerto_Rico,2002
238,72,1,271,Puerto_Rico,2002
239,72,2,3833,Puerto_Rico,2002
240,72,9,13,Puerto_Rico,2002
241,78,10,106,Virgin_Islands,2002
242,78,1,204,Virgin_Islands,2002
243,78,2,1952,Virgin_Islands,2002
244,78,7,4,Virgin_Islands,2002
245,78,9,13,Virgin_Islands,2002
